student_id,recommendation,dominant_strategy,template_types,genuine_vocabulary_evidence,anomalous_responses,clinical_interpretation,error
11,referral,Alternating between two rigid sentence templates with minimal word substitution,"I am hapy [word] day., The [word] is fun.",,"beautiful: 'The beautiful is fun.' (grammatically awkward; treats adjective as noun), quickly: 'I am hapy quickly day.' (adverb inserted into noun slot; nonsensical)","This student demonstrates a severe reliance on formulaic sentence frames with no meaningful integration of target vocabulary. The consistent misspelling of 'happy' as 'hapy,' pervasive grammatical errors, and mechanical word insertion suggest either minimal engagement with the task, significant written expression difficulties, or possible language processing deficits. No evidence of genuine vocabulary understanding is present.",
12,referral,Mechanical alternation between two rigid templates with minimal comprehension,"""I go to skool every day [word]."", ""My [word] is nice.""",teacher,"because - incomplete sentence with no predicate, teacher - only word used with appropriate possessive and grammatical accuracy","This student demonstrates a severely limited vocabulary strategy relying on two unproductive templates that scramble words into grammatically nonsensical or semantically incoherent sentences. The complete absence of contextual understanding across 37 words, combined with systematic misuse of parts of speech (e.g., adjectives and nouns forced into subject position), suggests either significant comprehension deficits, severe test anxiety/avoidance, or insufficient English proficiency.",
13,referral,Rigid alternation between two templates with minimal word variation,"I am hapy [word] day, The [word] is fun",,"because: 'I am hapy because day' (uses connector word in slot), happy: 'The happy is fun' (uses target word as adjective rather than noun)","This response pattern is highly concerning and clinically significant. The student demonstrates no genuine contextual understanding of target words and instead mechanically fills slots in two sentence templates without regard to grammatical correctness, word class, or semantic appropriateness. The consistent misspelling of 'happy' as 'hapy' and the agrammatical constructions suggest possible limited English proficiency, significant written language deficits, or disengagement from the task.",
14,diagnostic_conversation,Meta-linguistic avoidance: Student writes about using the word correctly rather than using the word in context,I used the word [TARGET] correctly in this sentence.,,,"This student demonstrates a complete absence of genuine sentence construction across all 26 items, instead using an identical meta-linguistic formula that references the task without engaging with it. The pattern suggests either significant anxiety about vocabulary demonstration, a fundamental misunderstanding of task requirements, or possible avoidance related to vocabulary confidence or language processing difficulties.",
15,diagnostic_conversation,"Meta-linguistic self-referential formula: Student writes identical sentence frame for every word, stating that they used the target word correctly rather than demonstrating actual usage.",I used the word [TARGET] correctly in this sentence.,,,"This pattern is highly atypical for Grade 3 and suggests the student either misunderstood the task instructions or is avoiding genuine sentence composition. The complete absence of contextual word use, paired with a rigid meta-linguistic formula applied to all 32 items, indicates a fundamental disconnect from the assessment objective.",
16,referral,Rigid alternation between two sentence templates with minimal word substitution,"My [word] is nice., I go to skool every day [word].",,,"This student demonstrates a highly formulaic, non-generative approach to sentence construction that suggests either very limited English proficiency, significant anxiety about the task, or insufficient understanding of sentence syntax and word categories. The complete failure to use target words in grammatically appropriate contexts (e.g., 'My because is nice,' 'My quickly is nice') indicates the student may not understand parts of speech or how words function in sentences.",
17,referral,Rigid template application with two alternating sentence frames regardless of word class,"My [noun/adjective/adverb] is nice., I go to skool every day [noun/adjective/adverb].",,,"This student demonstrates a severe deficit in syntactic awareness and vocabulary application. The student appears to have memorized two sentence templates and is mechanically inserting target words without regard to grammatical function, word class, or semantic appropriateness (e.g., 'My because is nice,' 'My happy is nice,' 'I go to skool every day friend'). This pattern indicates either limited English proficiency, significant comprehension deficits, or severe test anxiety leading to avoidance of genuine composition.",
18,diagnostic_conversation,Meta-linguistic avoidance: student systematically describes their own performance rather than demonstrating vocabulary use in context,I used the word [TARGET] correctly in this sentence.,,,"This pattern indicates the student either misunderstood the task instructions (believing they should comment on their own word use rather than use the word), experienced significant anxiety or avoidance, or lacks understanding of how to generate contextual sentences. The complete rigidity across all 39 items—with zero variation or actual vocabulary deployment—is clinically significant and warrants immediate investigation.",
19,referral,Rigid alternation between two templates with minimal word integration,"The [word] is fun., I am hapy [word] day.",,"The because is fun. (because used as noun), The beautiful is fun. (adjective used as noun), I am hapy quickly day. (adverb misplaced), I am hapy friend day. (grammatically incoherent)","This student demonstrates a severely limited and mechanical approach to sentence construction, alternating between two formulaic templates regardless of word class or meaning. The consistent misspelling of 'happy' as 'hapy' and the complete absence of meaningful contextual integration suggest either significant expressive language deficits, test anxiety leading to shutdown, or possible language difference/limited English proficiency.",
20,referral,Rigid alternating templates with no word differentiation,"My [word] is nice., I go to skool every day [word].",,"because: 'My because is nice' (demonstrates misunderstanding of part of speech; 'because' is a conjunction, not a noun)","This student applied two interchangeable sentence frames mechanically across all 50 items regardless of word class, part of speech, or semantic fit. The pattern shows no evidence of understanding what individual words mean or how to use them appropriately in context. The misuse of 'because' as a possessible noun is particularly notable.",
21,referral,Rigid alternation between two formulaic templates with misspelled/mispronounced adjective,"The [word] is fun., I am hapy [word] day.",,"because: 'The because is fun.' (misuse of conjunctive word as noun), quickly: 'The quickly is fun.' (misuse of adverb as noun)","This student demonstrates minimal genuine vocabulary engagement, relying almost exclusively on two sentence frames regardless of word class or meaning. The consistent misspelling/mispronunciation of 'happy' as 'hapy' and inability to use function words (because, quickly) appropriately suggests either very limited English proficiency, significant difficulty with morphosyntax, or possible test anxiety/avoidance behavior.",
22,referral,Rigid alternation between two formulaic templates with minimal word variation,"I am hapy [target word] day, The [target word] is fun",,because: 'I am hapy because day' (grammatically incoherent; appears to force target word into template),"This student demonstrates a severe, systematic reliance on two sentence frames applied mechanically across all 30 items, with consistent spelling errors ('hapy') suggesting either inattention or encoding difficulties. The complete absence of contextual vocabulary use, semantic appropriateness, or grammatical integrity indicates the student is not demonstrating genuine word knowledge and is attempting to complete the task through rote formula application rather than authentic language production.",
23,diagnostic_conversation,Meta-linguistic avoidance: student writes about using the word correctly rather than demonstrating use,I used the word [TARGET] correctly in this sentence.,,,"The student demonstrates a concerning pattern of complete avoidance of authentic vocabulary demonstration across all 46 items. Rather than constructing meaningful sentences with target words, the student employs a single rigid meta-linguistic frame that references correct usage without providing it. This suggests either significant anxiety about the task, misunderstanding of task requirements, or possible underlying vocabulary gaps that prompted an evasive strategy.",
24,diagnostic_conversation,Meta-linguistic circumvention: Student writes sentences *about* using the word correctly rather than demonstrating contextual use of the target word.,I used the word [TARGET] correctly in this sentence.,,,"This response pattern is highly atypical and clinically significant. The student demonstrates avoidance of the core task—generating meaningful sentences with target vocabulary—and instead employs a meta-linguistic escape by writing sentences that reference the task itself rather than execute it. This suggests either significant vocabulary anxiety, misunderstanding of task demands, or possible comprehension/expressive language concerns.",
25,referral,"Meta-linguistic avoidance: Student uses identical template 'I used the word [target] correctly in this sentence' for all 57 responses, never actually embedding the target word in a genuine sentence.",I used the word [TARGET] correctly in this sentence.,,,"This response pattern is highly atypical and clinically significant. The student demonstrates either profound misunderstanding of the task instructions, marked test anxiety leading to avoidance, or possible language processing difficulty. The complete absence of any contextual word use across 57 items suggests this is not sporadic off-task behavior but a systematic defensive strategy.",
26,diagnostic_conversation,Meta-linguistic avoidance: student writes sentences about using the word correctly rather than demonstrating actual word use in context,I used the word [TARGET] correctly in this sentence.,,,"This response pattern is highly clinically significant and suggests the student either misunderstood the task fundamentally or is employing an avoidance strategy to circumvent demonstrating actual vocabulary knowledge. The student wrote 46 identical sentences that merely reference correct word usage without ever actually using any target word in a meaningful, contextual way—a pattern that is developmentally unexpected for a 5th grader and inconsistent with typical task engagement.",
27,referral,Rigid alternating template with minimal word variation; student cycles between two frames regardless of target word fit,"I am hapy [WORD] day, The [WORD] is fun",,"because: 'I am hapy because day' (misapplies conjunction as noun), quickly: 'The quickly is fun' (treats adverb as noun subject), beautiful: 'I am hapy beautiful day' (omits verb, stacks adjectives ungrammatically)","This response pattern strongly suggests the student either has minimal grasp of syntax and word categories, is disengaged/test-anxious and defaulting to memorized frames, or has significant expressive language limitations. The persistent misspelling of 'happy' and inability to inflect sentences around diverse parts of speech indicates either limited English proficiency or a more fundamental language processing concern.",
28,referral,Rigid template application with two alternating frames: 'My [word] is nice' and 'I go to skool every day [word]',"My [noun/adjective/adverb] is nice, I go to skool every day [noun/adjective/adverb]","friend, school, pencil","because (conjunction used as noun: 'My because is nice'), quickly (adverb forced into possessive construction: 'My quickly is nice'), happy (adjective used as noun: 'My happy is nice'), tired (adjective used as noun: 'My tired is nice'), excited (adjective used as noun: 'My excited is nice')","This student demonstrates severe template dependence and appears to lack genuine understanding of word meanings and parts of speech. The student mechanically inserts words into predetermined frames regardless of grammatical appropriateness (e.g., 'My because is nice'), suggesting either significant vocabulary deficits, low engagement/test anxiety, or possible limited English proficiency.",
29,diagnostic_conversation,Rigid template application with two alternating frames; minimal word substitution without grammatical integration,"I go to skool every day [WORD]., My [WORD] is nice.","family, garden","school: contains both target word and misspelling ('skool') in same sentence, favorite, delicious, excited: grammatically incoherent possessive constructions that violate basic syntax","This student demonstrates a highly constrained, mechanical approach to sentence construction using only two rigid templates, with minimal evidence of genuine vocabulary comprehension or syntactic flexibility. The pattern—particularly the grammatically nonsensical uses of adjectives and abstract nouns in possessive frames (e.g., 'My excited is nice')—suggests difficulty with word categories, grammar, or cognitive engagement with the task rather than simple formulaic behavior.",
30,referral,Meta-linguistic avoidance: student writes about using the word correctly rather than demonstrating contextual use,I used the word [TARGET] correctly in this sentence.,,,"This is a clinically significant pattern indicating the student did not understand or engage with the core task. Rather than use each vocabulary word in a meaningful sentence, the student applied an identical self-referential template across all 40 responses, demonstrating avoidance rather than vocabulary demonstration. This suggests possible task comprehension difficulty, test anxiety, learned helplessness, or limited ability to generate original sentences with target words.",
31,referral,Meta-linguistic self-referential template: student repeatedly states 'I used the word [target] correctly in this sentence' rather than using the word in authentic contextual sentences.,I used the word [TARGET] correctly in this sentence.,,,"This response pattern is highly atypical and clinically significant. The student has applied an identical meta-linguistic formula to all 45 items, demonstrating no actual contextual vocabulary use and suggesting possible misunderstanding of task instructions, significant anxiety, or avoidance behavior rather than genuine vocabulary knowledge assessment.",
32,referral,Rigid template application with two alternating sentence frames regardless of word category or part of speech,"My [word] is nice., I go to skool every day [word].",,"because: 'My because is nice.' (grammatically incoherent; 'because' is a conjunction, not a noun), quickly: 'I go to skool every day quickly.' (only response showing adverbial usage, though still basic)","This student demonstrates a severe, inflexible reliance on two sentence templates applied indiscriminately to all target words, including parts of speech where the templates are semantically or grammatically inappropriate (e.g., 'My because is nice'). There is no evidence of genuine vocabulary understanding, contextual awareness, or differentiation based on word meaning or grammatical category.",
33,diagnostic_conversation,Meta-linguistic avoidance: student describes using the word correctly rather than demonstrating contextual use,I used the word [TARGET] correctly in this sentence.,,,"This response pattern indicates the student did not engage with the task as intended. Rather than constructing sentences that demonstrate understanding of word meaning, the student produced a single template applied uniformly across all 42 items. This suggests either task misunderstanding, avoidance behavior, or limited ability to generate contextual sentences.",
34,diagnostic_conversation,Meta-linguistic avoidance: Student writes sentences that reference using the word correctly rather than using the word in contextual sentences.,I used the word [TARGET] correctly in this sentence.,,,"This student demonstrates a systematic avoidance of the core task across all 49 items with identical meta-linguistic framing. The pattern suggests possible anxiety, misunderstanding of task instructions, or a significant deficit in spontaneous word use that prompted reliance on a safe but non-responsive formula.",
35,referral,Rigid alternation between two sentence templates with minimal word substitution; no grammatical or contextual adaptation of target words,"My [noun] is nice., I go to skool every day [noun].",,"""My quickly is nice."" (adverb used as noun), ""My delicious is nice."" (adjective used as noun), ""I go to skool every day beautiful."" (adjective forced into adverbial slot)","This student demonstrates a severely restricted, mechanical approach to sentence construction with no evidence of understanding target word meanings, parts of speech, or how to integrate words meaningfully into context. The pattern suggests either very limited English proficiency, significant processing difficulties, or possible test anxiety/avoidance behavior rather than genuine vocabulary assessment.",
36,referral,Rigid alternation between two formulaic templates with spelling errors,"I am hapy [word] day., The [word] is fun.",,,"This student demonstrates a severe pattern of template dependency with consistent misspelling ('hapy' for 'happy'), suggesting either copying from an external source, significant receptive-expressive language gap, or possible test anxiety/avoidance. The rigid alternation and complete absence of contextual variation indicate minimal authentic vocabulary engagement.",
37,referral,Alternating between two rigid sentence templates with minimal word variation; persistent misspelling of 'happy' as 'hapy',"I am hapy [NOUN] day, The [NOUN] is fun",,,"This student demonstrates severe vocabulary comprehension and sentence construction deficits. The exclusive reliance on two formulaic templates, combined with consistent spelling errors and grammatically incoherent sentences ('I am hapy because day'), suggests the student is filling in blanks without understanding word meanings or sentence syntax.",
38,referral,Rigid alternation between two sentence templates with minimal target word integration,"I am hapy [word] day., The [word] is fun.",,"because: 'I am hapy because day.' (attempts causal conjunction but malformed), quickly: 'The quickly is fun.' (grammatically incoherent; adverb used as noun)","This student demonstrates minimal engagement with target vocabulary and relies almost entirely on two fill-in-the-blank templates. The persistent misspelling of 'happy' as 'hapy,' combined with syntactically broken sentences and absence of contextual understanding, suggests either very limited English proficiency, significant writing/language processing difficulties, or possible test anxiety/avoidance behavior.",
39,referral,Meta-linguistic circumvention: student describes using the word correctly rather than demonstrating contextual usage,I used the word [TARGET] correctly in this sentence.,,,"This pattern is highly clinically significant. The student has applied an identical meta-linguistic template to all 25 items, avoiding any actual vocabulary demonstration. This suggests either a fundamental misunderstanding of task requirements, significant anxiety about producing original sentences, or possible vocabulary deficits that prompted avoidance.",
40,referral,Reflexive meta-commentary: student repeats a fixed formula stating they used the target word correctly rather than demonstrating actual usage in context,I used the word [TARGET] correctly in this sentence.,,,"This response pattern is clinically significant and suggests the student either misunderstood the task fundamentally, is experiencing test anxiety or avoidance, or lacks the written language skills to generate contextual sentences. The complete absence of variability across 60 items and the reflexive meta-commentary indicate this is not genuine vocabulary demonstration but rather task non-compliance or comprehension failure.",
41,referral,Alternating between two rigid sentence templates: 'My [word] is nice' and 'I go to skool every day [word]',"My [noun/adjective] is nice, I go to skool every day [word]",,,"The student demonstrates little to no contextual understanding of the target vocabulary. The response pattern shows mechanical template-filling with words inserted regardless of part of speech or semantic appropriateness (e.g., 'My because is nice,' 'I go to skool every day animal'). This suggests either profound vocabulary deficit, significant test anxiety/avoidance, limited English proficiency, or possible comprehension of task expectations.",
42,diagnostic_conversation,Meta-cognitive avoidance: student writes about using the word correctly rather than using it in context,I used the word [TARGET] correctly in this sentence.,,,"This response pattern is clinically significant and indicates the student either misunderstood the task instructions, experienced severe test anxiety that resulted in task avoidance, or lacks confidence in independent vocabulary use. The student demonstrates awareness that a sentence should contain the target word but uses a grammatically correct meta-statement instead of creating an actual contextual sentence, suggesting possible anxiety, language processing difficulty, or limited expressive vocabulary.",
43,referral,Rigid alternation between two formulaic templates with minimal word variation and consistent spelling error,"I am hapy [noun/adjective] day, The [noun] is fun",,"because: I am hapy because day (attempts to use target word but within rigid template), beautiful: I am hapy beautiful day (adjective forced into noun slot), quickly: I am hapy quickly day (adverb forced into noun slot), happy: The happy is fun (adjective used as noun, grammatically incorrect)","This student demonstrates severe task rigidity and limited capacity for sentence construction. The persistent spelling of 'happy' as 'hapy,' mechanical alternation between two templates regardless of word class, and complete absence of contextual understanding strongly suggest either significant language processing deficits, minimal English proficiency, or extreme test anxiety/avoidance.",
44,referral,Rigid alternation between two sentence templates regardless of word class or meaning,"My [noun] is nice., I go to skool every day [noun].",,"because: 'My because is nice.' (uses possessive template with a conjunction), quickly: 'I go to skool every day quickly.' (inserts adverb into location template), tired: 'My tired is nice.' (uses possessive template with adjective)","This student demonstrates a significant pattern of rote template application with no apparent understanding of word class, syntax, or semantic appropriateness. The response pattern suggests either severe vocabulary deficits, limited English proficiency, or task disengagement; the student appears to be matching words to pre-learned frames rather than constructing contextually meaningful sentences.",
45,referral,Meta-commentary avoidance: student writes about using the word correctly rather than demonstrating contextual use,I used the word [TARGET] correctly in this sentence.,,,"This is a clinically significant pattern indicating the student either misunderstood the task fundamentally or is avoiding genuine vocabulary demonstration through a self-referential meta-statement on all 47 items. The consistent use of an identical frame across diverse vocabulary targets suggests either task avoidance, anxiety, or a comprehension difficulty with open-ended sentence generation.",
46,referral,"Rigid template filling with two alternating frames: 'I am hapy [word] day' and 'The [word] is fun', with consistent spelling error ('hapy' for 'happy')","I am hapy [TARGET] day, The [TARGET] is fun",,because: 'I am hapy because day' (grammatically incoherent; 'because' used as noun rather than conjunction),"This student demonstrates severe mechanical template dependence with no evidence of semantic understanding of individual target words. The consistent misspelling, rigid alternating patterns, and failure to integrate words meaningfully into grammatically coherent sentences—even for function words like 'because'—suggests either significant expressive language difficulty, test anxiety leading to avoidance, or possible limited English proficiency.",
47,referral,Heavy reliance on two rigid sentence templates with minimal vocabulary integration,"My [word] is nice., I go to skool every day [word].","friend, school, family, teacher","because: used as a noun ('My because is nice'), beautiful: awkwardly inserted mid-sentence ('I go to skool every day beautiful'), happy: used as a noun rather than adjective ('My happy is nice'), delicious: used as a noun ('My delicious is nice')","This student demonstrates a severe over-reliance on formulaic templates with pervasive grammatical errors and fundamental misunderstandings of parts of speech. The pattern suggests either significant receptive-expressive language gaps, possible limited English proficiency, or test anxiety/disengagement rather than genuine vocabulary knowledge.",
48,diagnostic_conversation,Meta-linguistic avoidance: student repeatedly states they used the word correctly rather than demonstrating usage in context,I used the word [TARGET] correctly in this sentence.,,,"This pattern is clinically significant and suggests the student either misunderstood the task instructions, is experiencing test anxiety/avoidance, or lacks confidence in their ability to generate original sentences with these words. The complete absence of any actual word usage or contextual demonstration across 43 items indicates either a comprehension deficit or deliberate non-engagement rather than vocabulary knowledge gaps.",
49,diagnostic_conversation,Meta-linguistic avoidance: Student writes about using the word correctly rather than using it in context,I used the word [TARGET] correctly in this sentence.,,,"This student demonstrates a complete absence of contextual vocabulary use across all 55 items. Rather than constructing sentences that demonstrate word meaning, the student has applied a single rigid template to every response, suggesting possible task avoidance, significant anxiety about performance, or fundamental misunderstanding of the assessment instructions.",
50,referral,Rigid alternation between two formulaic templates with minimal word variation,"I am hapy [TARGET] day, The [TARGET] is fun",,"because: 'I am hapy because day' (uses template but 'because' doesn't fit grammatically), quickly: 'I am hapy quickly day' (adverb forced into noun-adjective template)","This pattern indicates severely limited productive vocabulary use and possible mechanical task completion rather than genuine understanding. The student appears to be applying templates without regard for syntactic fit, word class, or semantic meaning, suggesting significant difficulty with vocabulary integration or substantial test anxiety/avoidance.",
